Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
1 /views/popup/auth/select-account.html,10,9,6,22,4.63,0.00%,11.1,12.17,1124.0
2 /views/popup/auth/signup.html,10,5,4,7,1.00,0.00%,11.2,17.63,1612.0
3 /api/api/users,10,675,112,1008,314.08,0.00%,5.3,4.20,814.0
4 /api/api/users,10,826,301,938,181.25,0.00%,3.8,2.79,756.0
6 /api/upload/avatar/,10,63,38,97,17.51,0.00%,4.2,7.75,1905.0
7 /views/pages/profile/edit-profile.html,10,17,4,32,10.15,0.00%,4.3,4.83,1162.0
5 /api/api/admins/skills,10,814,532,1061,127.43,0.00%,3.1,2.35,767.0
8 /views/pages/profile/edit-profile-role.html,10,22,6,49,14.98,0.00%,3.7,1.99,545.0
9 /api/api/users/510,10,1044,873,1265,129.66,0.00%,2.6,3.25,1294.0
10 /api/api/users/510,10,1031,856,1205,87.52,0.00%,2.6,3.31,1294.0
11 /views/pages/profile/edit-profile-management-profile.html,10,10,5,15,3.23,0.00%,3.4,5.93,1808.0
12 /api/api/users/510,10,848,524,1051,167.68,0.00%,2.9,3.62,1294.0
TOTAL,120,447,4,1265,454.69,0.00%,18.3,21.46,1197.9
